epoch,train_err,train_acc,test_err,test_acc
1,0.070907,80.397500,0.488504,82.407500
2,0.055780,83.330000,0.460427,82.925000
3,0.053180,83.819500,0.436361,83.377500
4,0.051801,84.103000,0.436880,83.422500
5,0.050897,84.257500,0.426193,83.550000
6,0.050385,84.345000,0.432161,83.512500
7,0.049838,84.521500,0.421353,83.505000
8,0.049487,84.659500,0.423498,83.672500
9,0.049208,84.739000,0.424429,83.515000
10,0.048860,84.868000,0.429869,83.657500
11,0.048691,84.804500,0.419897,83.642500
12,0.048463,84.957500,0.422820,83.587500
13,0.048314,84.955500,0.419337,83.600000
14,0.048176,84.984500,0.422402,83.525000
15,0.048057,85.093000,0.420032,83.787500
16,0.047946,85.103000,0.421589,83.615000
17,0.047799,85.161000,0.416712,83.817500
18,0.047727,85.147000,0.423114,83.695000
19,0.047663,85.244000,0.414726,83.685000
20,0.047572,85.237500,0.417680,83.737500
21,0.047470,85.270500,0.421956,83.610000
22,0.047387,85.312500,0.428298,83.535000
23,0.047341,85.401500,0.426457,83.670000
24,0.047233,85.418000,0.418783,83.690000
25,0.047265,85.392500,0.418248,83.677500
26,0.047130,85.404000,0.422041,83.635000
27,0.047054,85.470500,0.418302,83.770000
28,0.047012,85.468500,0.418560,83.585000
29,0.046964,85.515000,0.422235,83.590000
30,0.046923,85.502000,0.418211,83.690000
31,0.046926,85.478500,0.420977,83.695000
32,0.046843,85.500000,0.423462,83.572500
33,0.046782,85.545000,0.416480,83.645000
34,0.046749,85.562500,0.425014,83.690000
35,0.046701,85.620000,0.419447,83.687500
36,0.046692,85.576000,0.418239,83.577500
37,0.046647,85.622500,0.420733,83.605000
38,0.046601,85.655000,0.421242,83.685000
39,0.046522,85.687500,0.421205,83.522500
