epoch,train_err,train_acc,test_err,test_acc
1,0.120635,69.626000,0.861430,72.258750
2,0.103130,73.383750,0.821863,73.326875
3,0.099020,74.364875,0.805873,73.795000
4,0.096536,74.941000,0.803909,73.888750
5,0.094880,75.352750,0.798755,74.089375
6,0.093479,75.757125,0.802717,74.033125
7,0.092351,75.977875,0.809917,74.003125
8,0.091450,76.247000,0.804039,73.998750
9,0.090632,76.438625,0.811821,73.942500
10,0.089902,76.637750,0.813279,73.901875
11,0.089264,76.814375,0.813959,73.936875
12,0.088597,76.974625,0.818262,73.846875
13,0.088061,77.132750,0.821830,73.851250
14,0.087630,77.261500,0.822595,73.776250
15,0.087139,77.378750,0.829447,73.765625
16,0.086698,77.541375,0.827572,73.741250
17,0.086311,77.660125,0.832002,73.667500
18,0.085916,77.721500,0.834741,73.505625
19,0.085532,77.858000,0.837421,73.490625
20,0.085193,77.976875,0.843316,73.410625
21,0.084893,78.003750,0.846430,73.361875
22,0.084542,78.145000,0.849058,73.365625
23,0.084259,78.229375,0.853266,73.374375
24,0.083914,78.326125,0.855045,73.303750
25,0.083697,78.409000,0.860623,73.209375
26,0.083411,78.460625,0.859102,73.305000
27,0.083140,78.563125,0.868278,73.058750
28,0.082920,78.610500,0.871394,72.968125
29,0.082689,78.712750,0.871511,73.032500
30,0.082463,78.770375,0.875861,73.061875
31,0.082231,78.826750,0.878785,72.943750
32,0.082047,78.890500,0.880709,72.957500
33,0.081813,78.957500,0.885243,72.965625
34,0.081634,79.023125,0.890909,72.833750
35,0.081415,79.060750,0.888704,72.740625
36,0.081204,79.184250,0.890061,72.802500
37,0.081055,79.217375,0.894331,72.753750
38,0.080841,79.234250,0.895128,72.657500
39,0.080746,79.276500,0.898658,72.648125
40,0.080490,79.354625,0.903963,72.651250
