epoch,train_err,train_acc,test_err,test_acc
1,0.106757,72.641571,0.744519,75.267857
2,0.090212,76.137143,0.712300,76.162143
3,0.086104,77.121857,0.703230,76.500714
4,0.083733,77.694714,0.699306,76.575000
5,0.082080,78.073429,0.700836,76.663571
6,0.080797,78.403143,0.698550,76.705714
7,0.079688,78.708286,0.696264,76.792143
8,0.078777,79.005571,0.698855,76.767857
9,0.077965,79.209857,0.701211,76.824286
10,0.077285,79.431143,0.697290,76.777857
11,0.076650,79.527857,0.701865,76.765714
12,0.076026,79.749714,0.713228,76.705714
13,0.075527,79.878571,0.707770,76.665714
14,0.075024,80.014429,0.716749,76.591429
15,0.074557,80.175571,0.718840,76.455714
16,0.074126,80.287429,0.720481,76.595714
17,0.073661,80.446571,0.720941,76.450714
18,0.073310,80.535143,0.730978,76.348571
19,0.072906,80.660429,0.730707,76.252857
20,0.072604,80.756143,0.732677,76.298571
21,0.072278,80.846429,0.736278,76.328571
22,0.071930,80.982286,0.742715,76.150714
23,0.071619,81.071286,0.742716,76.263571
24,0.071324,81.185143,0.748356,76.175000
25,0.071021,81.245714,0.756833,75.957857
26,0.070775,81.345429,0.759872,76.063571
27,0.070534,81.416286,0.758151,76.018571
28,0.070227,81.537143,0.762072,76.002857
29,0.069993,81.593000,0.767174,75.980714
30,0.069801,81.659000,0.767771,75.825714
31,0.069553,81.755714,0.770322,75.876429
32,0.069302,81.845000,0.774876,75.898571
33,0.069073,81.884000,0.774032,75.877857
34,0.068858,81.938429,0.776534,75.806429
35,0.068679,82.035571,0.780758,75.851429
36,0.068438,82.102714,0.785378,75.697857
37,0.068236,82.165857,0.792446,75.707857
38,0.068038,82.262571,0.793746,75.715714
39,0.067859,82.292000,0.799873,75.590000
40,0.067693,82.348857,0.797062,75.458571
