epoch,train_err,train_acc,test_err,test_acc
1,0.078431,78.753600,0.535596,80.840000
2,0.064842,81.339800,0.509787,81.624000
3,0.061939,82.060600,0.501171,81.772000
4,0.060334,82.377800,0.493743,81.816000
5,0.059199,82.747600,0.491200,81.883000
6,0.058372,82.951600,0.484619,82.061000
7,0.057719,83.120800,0.484700,81.995000
8,0.057155,83.258600,0.486262,82.091000
9,0.056689,83.430000,0.482038,82.078000
10,0.056225,83.594400,0.484610,82.166000
11,0.055878,83.710400,0.489599,82.055000
12,0.055521,83.847200,0.483464,82.075000
13,0.055200,83.924800,0.487199,82.210000
14,0.054923,84.024600,0.492707,82.242000
15,0.054664,84.171600,0.487717,82.185000
16,0.054408,84.273200,0.487823,82.126000
17,0.054172,84.351200,0.487528,82.258000
18,0.053955,84.423000,0.493239,82.151000
19,0.053729,84.509400,0.496416,81.981000
20,0.053576,84.600200,0.494668,82.098000
21,0.053398,84.646000,0.495238,82.127000
22,0.053193,84.741000,0.495717,82.136000
23,0.053044,84.808800,0.500369,82.106000
24,0.052886,84.874600,0.498211,82.078000
25,0.052701,84.964800,0.501723,82.139000
26,0.052561,85.018600,0.503640,82.006000
27,0.052397,85.132000,0.502824,82.140000
28,0.052313,85.107400,0.499785,82.116000
29,0.052195,85.174400,0.503464,82.197000
30,0.052002,85.270800,0.501642,82.065000
31,0.051885,85.305000,0.504648,82.212000
32,0.051768,85.338400,0.510894,81.956000
33,0.051654,85.379400,0.509143,82.170000
34,0.051512,85.475600,0.511381,82.013000
35,0.051441,85.460200,0.511574,82.108000
36,0.051297,85.514200,0.514953,82.086000
37,0.051214,85.598800,0.514376,82.208000
38,0.051109,85.625000,0.519052,81.987000
39,0.051018,85.664800,0.515782,82.130000
40,0.050915,85.714200,0.517085,82.096000
