epoch,train_err,train_acc,test_err,test_acc
1,0.052253,84.444667,0.354691,85.606667
2,0.042084,86.252000,0.330838,86.123333
3,0.040715,86.280000,0.327824,86.293333
4,0.040072,86.420667,0.319121,86.286667
5,0.039730,86.485333,0.321897,86.156667
6,0.039581,86.393333,0.315905,86.493333
7,0.039462,86.420667,0.311414,86.436667
8,0.039332,86.450000,0.316262,86.130000
9,0.039252,86.478000,0.313637,86.160000
10,0.039153,86.484000,0.316268,86.166667
11,0.039071,86.504667,0.316502,86.220000
12,0.038990,86.555333,0.317823,86.266667
13,0.038946,86.552667,0.315441,86.360000
14,0.038909,86.547333,0.311552,86.453333
15,0.038874,86.482667,0.309176,86.196667
16,0.038877,86.472667,0.308241,86.183333
17,0.038877,86.421333,0.310335,86.453333
18,0.038805,86.568667,0.312099,86.063333
19,0.038748,86.501333,0.309145,86.503333
20,0.038747,86.564667,0.310995,86.173333
21,0.038741,86.502667,0.310676,86.336667
22,0.038731,86.539333,0.312337,86.180000
23,0.038691,86.520667,0.307382,86.283333
24,0.038666,86.538667,0.307682,86.333333
25,0.038669,86.556667,0.312212,86.480000
26,0.038651,86.574000,0.307418,86.066667
27,0.038635,86.554667,0.313802,86.293333
28,0.038618,86.513333,0.305929,86.180000
29,0.038660,86.456000,0.305064,86.183333
30,0.038604,86.483333,0.306550,86.330000
31,0.038568,86.578667,0.311401,86.340000
32,0.038563,86.546000,0.305938,86.073333
33,0.038555,86.520000,0.310221,86.100000
34,0.038561,86.556667,0.310534,86.093333
35,0.038570,86.554000,0.309644,86.266667
36,0.038560,86.500000,0.306434,86.413333
37,0.038471,86.606000,0.307580,86.196667
38,0.038501,86.533333,0.307939,86.316667
39,0.038487,86.614000,0.306654,86.283333
