epoch,train_err,train_acc,test_err,test_acc
1,0.087403,76.980000,0.587410,79.838000
2,0.069135,80.558000,0.544278,80.968000
3,0.065026,81.476800,0.521492,81.142000
4,0.062770,82.056400,0.519674,81.226000
5,0.061164,82.525600,0.521532,81.406000
6,0.059964,82.806400,0.512648,81.620000
7,0.059001,83.142400,0.512403,81.480000
8,0.058085,83.406800,0.505820,81.746000
9,0.057398,83.644800,0.508597,81.914000
10,0.056719,83.831600,0.513908,81.602000
11,0.056153,84.051200,0.507021,81.628000
12,0.055546,84.273200,0.519772,81.756000
13,0.055066,84.406400,0.523149,81.756000
14,0.054591,84.533200,0.525869,81.640000
15,0.054139,84.678800,0.527654,81.770000
16,0.053725,84.954000,0.529145,81.648000
17,0.053292,85.028800,0.522644,81.750000
18,0.052953,85.173200,0.529404,81.722000
19,0.052595,85.341200,0.531213,81.632000
20,0.052254,85.412000,0.535851,81.790000
21,0.051855,85.550800,0.539070,81.560000
22,0.051590,85.699200,0.538777,81.472000
23,0.051310,85.729200,0.542659,81.468000
24,0.050956,85.909600,0.541224,81.790000
25,0.050660,85.988800,0.552523,81.522000
26,0.050449,86.039600,0.551318,81.640000
27,0.050162,86.200800,0.558841,81.508000
28,0.049888,86.270400,0.554832,81.464000
29,0.049680,86.347200,0.558619,81.562000
30,0.049472,86.377200,0.564152,81.422000
31,0.049184,86.535600,0.565487,81.464000
32,0.048996,86.564800,0.571496,81.420000
33,0.048811,86.620000,0.574542,81.500000
34,0.048627,86.711600,0.573657,81.242000
35,0.048367,86.816000,0.575139,81.460000
36,0.048225,86.817200,0.580767,81.310000
37,0.048011,86.934800,0.582791,81.394000
38,0.047850,86.961200,0.587340,81.390000
39,0.047667,87.031200,0.590384,81.378000
