epoch,train_err,train_acc,test_err,test_acc
1,0.144142,64.346667,1.008465,67.882222
2,0.120668,69.278444,0.957376,69.477778
3,0.114717,70.709778,0.944355,69.843333
4,0.111072,71.643778,0.938564,70.131111
5,0.108413,72.237556,0.944162,70.300000
6,0.106240,72.810222,0.938934,70.296667
7,0.104441,73.271556,0.938111,70.242222
8,0.102789,73.695778,0.948570,70.243333
9,0.101374,74.094667,0.956609,70.110000
10,0.100087,74.427556,0.961259,70.061111
11,0.098930,74.735333,0.965980,70.022222
12,0.097936,74.908000,0.972245,70.020000
13,0.096897,75.229333,0.981783,69.728889
14,0.095961,75.481778,0.995905,69.758889
15,0.095176,75.740889,0.996205,69.532222
16,0.094367,75.885778,1.006564,69.643333
17,0.093627,76.080444,1.019214,69.296667
18,0.092904,76.284222,1.029821,69.438889
19,0.092237,76.420667,1.021819,69.098889
20,0.091559,76.655778,1.036863,69.110000
21,0.090938,76.766222,1.040304,69.126667
22,0.090406,76.911111,1.044233,68.921111
23,0.089814,77.099333,1.053442,69.041111
24,0.089273,77.203111,1.061213,68.840000
25,0.088728,77.334000,1.080470,68.665556
26,0.088231,77.472444,1.077128,68.548889
27,0.087769,77.546667,1.082246,68.456667
28,0.087318,77.677111,1.093423,68.360000
29,0.086808,77.821111,1.095722,68.267778
30,0.086417,77.982667,1.103761,68.174444
31,0.086006,78.081111,1.116491,68.066667
32,0.085637,78.175111,1.121503,68.024444
33,0.085185,78.284667,1.139284,67.870000
34,0.084847,78.349778,1.134633,67.841111
35,0.084512,78.439778,1.138577,67.810000
36,0.084155,78.539556,1.151010,67.741111
37,0.083718,78.645111,1.159062,67.603333
38,0.083450,78.695111,1.158150,67.446667
39,0.083150,78.821111,1.179237,67.617778
