epoch,train_err,train_acc,test_err,test_acc
1,0.116999,70.538000,0.796120,74.157143
2,0.095393,75.092286,0.750603,75.280000
3,0.089624,76.407429,0.748096,75.765714
4,0.086127,77.296571,0.729573,76.004286
5,0.083554,77.946857,0.723084,76.278571
6,0.081555,78.452286,0.730566,76.128571
7,0.079812,78.911714,0.732429,76.324286
8,0.078300,79.313429,0.737730,76.095714
9,0.076874,79.731429,0.739121,76.122857
10,0.075668,80.073714,0.742581,76.204286
11,0.074483,80.350857,0.750795,75.841429
12,0.073431,80.698857,0.762988,76.031429
13,0.072450,80.927429,0.762543,75.835714
14,0.071576,81.157429,0.778924,75.631429
15,0.070731,81.378857,0.781273,75.761429
16,0.069948,81.644857,0.786941,75.535714
17,0.069202,81.871429,0.796437,75.625714
18,0.068355,82.110000,0.806641,75.300000
19,0.067678,82.221143,0.811566,75.394286
20,0.067015,82.410000,0.825232,75.272857
21,0.066324,82.657429,0.829974,75.170000
22,0.065724,82.798286,0.835640,75.054286
23,0.065201,82.939714,0.850437,74.917143
24,0.064627,83.088286,0.865738,74.754286
25,0.064084,83.249714,0.865625,74.902857
26,0.063639,83.364286,0.881157,74.818571
27,0.063073,83.532857,0.884812,74.621429
28,0.062552,83.721429,0.905615,74.610000
29,0.062120,83.780857,0.904832,74.487143
30,0.061711,83.880571,0.914528,74.382857
31,0.061111,84.062286,0.924712,74.402857
32,0.060761,84.151714,0.925438,74.198571
33,0.060364,84.220571,0.948033,74.001429
34,0.060026,84.317714,0.943920,74.180000
35,0.059615,84.471143,0.955024,73.940000
36,0.059234,84.566000,0.966965,74.047143
37,0.058924,84.638571,0.990378,73.980000
38,0.058478,84.729429,0.989900,73.817143
39,0.058252,84.793429,0.993461,73.780000
