epoch,train_err,train_acc,test_err,test_acc
1,0.133202,66.551778,0.966858,69.244444
2,0.115471,70.536111,0.926945,70.402778
3,0.111385,71.561556,0.914900,70.794444
4,0.108988,72.142778,0.909722,70.997778
5,0.107280,72.518000,0.912589,70.980556
6,0.105974,72.875333,0.906898,71.111111
7,0.104897,73.147889,0.909834,71.162778
8,0.104028,73.383222,0.907670,71.113333
9,0.103206,73.617889,0.914659,71.010556
10,0.102581,73.744222,0.918852,70.965556
11,0.101962,73.905000,0.918630,70.958333
12,0.101435,74.064889,0.920223,70.876111
13,0.100906,74.187778,0.932500,70.733333
14,0.100497,74.309222,0.930452,70.737778
15,0.100024,74.450556,0.934334,70.663889
16,0.099659,74.560444,0.935592,70.685556
17,0.099307,74.611556,0.935532,70.688333
18,0.098931,74.756444,0.938109,70.542222
19,0.098595,74.853889,0.941456,70.532778
20,0.098270,74.914000,0.942213,70.551667
21,0.098019,74.978667,0.946741,70.392778
22,0.097743,75.072556,0.951037,70.366667
23,0.097495,75.182778,0.954741,70.282778
24,0.097234,75.223667,0.957416,70.180556
25,0.096979,75.336444,0.954627,70.241667
26,0.096776,75.337889,0.961231,70.151667
27,0.096567,75.422000,0.962069,70.166667
28,0.096294,75.511444,0.967207,70.095556
29,0.096106,75.551667,0.972363,70.111667
30,0.095932,75.608222,0.970034,70.071667
31,0.095721,75.658556,0.973920,69.924444
32,0.095549,75.669889,0.979192,69.866667
33,0.095367,75.736000,0.978219,69.966667
34,0.095189,75.770333,0.977003,69.845556
35,0.094969,75.882111,0.983162,69.860000
36,0.094826,75.920778,0.983175,69.771667
37,0.094702,75.952000,0.985095,69.788333
38,0.094524,75.992222,0.990386,69.706111
39,0.094356,76.053667,0.993368,69.670000
40,0.094239,76.042111,0.996119,69.658889
