epoch,train_err,train_acc,test_err,test_acc
1,0.102283,73.927667,0.691888,76.993333
2,0.081792,77.986333,0.640481,78.161667
3,0.076800,79.165667,0.629367,78.683333
4,0.073907,79.832000,0.622111,78.745000
5,0.071743,80.397333,0.615653,78.830000
6,0.070003,80.889000,0.623640,78.996667
7,0.068519,81.266000,0.620134,78.966667
8,0.067245,81.630667,0.619254,78.985000
9,0.066161,81.953000,0.620369,78.931667
10,0.065127,82.199667,0.628066,78.925000
11,0.064165,82.578667,0.631246,78.898333
12,0.063253,82.833000,0.636273,78.920000
13,0.062488,83.010333,0.643655,78.870000
14,0.061630,83.340000,0.644021,78.780000
15,0.060891,83.551333,0.658601,78.543333
16,0.060187,83.774333,0.664883,78.640000
17,0.059546,83.936333,0.667925,78.540000
18,0.058933,84.123667,0.670596,78.510000
19,0.058269,84.334333,0.675645,78.500000
20,0.057739,84.426667,0.688840,78.188333
21,0.057149,84.707333,0.694502,78.286667
22,0.056593,84.840667,0.702940,78.225000
23,0.056108,84.943333,0.701525,78.273333
24,0.055597,85.097333,0.718285,78.063333
25,0.055120,85.281000,0.721509,78.081667
26,0.054630,85.381667,0.730522,77.886667
27,0.054197,85.541333,0.734578,77.883333
28,0.053809,85.617000,0.741010,77.806667
29,0.053368,85.725667,0.747315,77.830000
30,0.052929,85.933333,0.749079,77.830000
31,0.052651,86.007667,0.758442,77.841667
32,0.052253,86.104667,0.767757,77.931667
33,0.051892,86.163667,0.783622,77.571667
34,0.051365,86.405667,0.782019,77.500000
35,0.051096,86.450667,0.796350,77.518333
36,0.050814,86.486667,0.794734,77.513333
37,0.050492,86.589667,0.800098,77.283333
38,0.050262,86.666333,0.807869,77.281667
39,0.049859,86.812667,0.829549,77.395000
